id,breed
24000,irish_water_spaniel
24001,entlebucher
24002,doberman
24003,malinois
24004,shetland_sheepdog
24005,irish_terrier
24006,irish_wolfhound
24007,flat-coated_retriever
24008,golden_retriever
24009,welsh_springer_spaniel
24010,redbone
24011,malamute
24012,scottish_deerhound
24013,pomeranian
24014,irish_setter
24015,cairn
24016,african_hunting_dog
24017,otterhound
24018,pekinese
24019,japanese_spaniel
24020,dandie_dinmont
24021,labrador_retriever
24022,sussex_spaniel
24023,samoyed
24024,cardigan
24025,papillon
24026,rhodesian_ridgeback
24027,german_short-haired_pointer
24028,otterhound
24029,bedlington_terrier
24030,staffordshire_bullterrier
24031,scotch_terrier
24032,scottish_deerhound
24033,airedale
24034,english_setter
24035,weimaraner
24036,pembroke
24037,curly-coated_retriever
24038,cairn
24039,lhasa
24040,pomeranian
24041,miniature_schnauzer
24042,pomeranian
24043,lakeland_terrier
24044,shetland_sheepdog
24045,borzoi
24046,gordon_setter
24047,tibetan_terrier
24048,norwich_terrier
24049,saint_bernard
24050,dingo
24051,bluetick
24052,affenpinscher
24053,appenzeller
24054,mexican_hairless
24055,maltese_dog
24056,dingo
24057,shih-tzu
24058,siberian_husky
24059,samoyed
24060,american_staffordshire_terrier
24061,australian_terrier
24062,airedale
24063,dingo
24064,dandie_dinmont
24065,saint_bernard
24066,beagle
24067,staffordshire_bullterrier
24068,weimaraner
24069,ibizan_hound
24070,gordon_setter
24071,toy_poodle
24072,yorkshire_terrier
24073,malinois
24074,greater_swiss_mountain_dog
24075,irish_terrier
24076,bouvier_des_flandres
24077,shih-tzu
24078,irish_water_spaniel
24079,cairn
24080,dandie_dinmont
24081,border_collie
24082,maltese_dog
24083,golden_retriever
24084,weimaraner
24085,whippet
24086,groenendael
24087,basset
24088,leonberg
24089,border_collie
24090,border_terrier
24091,chow
24092,airedale
24093,whippet
24094,norwich_terrier
24095,beagle
24096,rhodesian_ridgeback
24097,borzoi
24098,lakeland_terrier
24099,norwich_terrier
24100,flat-coated_retriever
24101,irish_terrier
24102,chesapeake_bay_retriever
24103,siberian_husky
24104,bull_mastiff
24105,norfolk_terrier
24106,dandie_dinmont
24107,scottish_deerhound
24108,saint_bernard
24109,german_shepherd
24110,norwegian_elkhound
24111,pomeranian
24112,greater_swiss_mountain_dog
24113,west_highland_white_terrier
24114,kerry_blue_terrier
24115,kerry_blue_terrier
24116,welsh_springer_spaniel
24117,welsh_springer_spaniel
24118,irish_setter
24119,cairn
24120,norfolk_terrier
24121,shetland_sheepdog
24122,scottish_deerhound
24123,english_setter
24124,collie
24125,japanese_spaniel
24126,whippet
24127,afghan_hound
24128,pembroke
24129,borzoi
24130,welsh_springer_spaniel
24131,scotch_terrier
24132,bull_mastiff
24133,french_bulldog
24134,silky_terrier
24135,bouvier_des_flandres
24136,toy_terrier
24137,australian_terrier
24138,pomeranian
24139,whippet
24140,chesapeake_bay_retriever
24141,scotch_terrier
24142,afghan_hound
24143,walker_hound
24144,miniature_pinscher
24145,border_collie
24146,cardigan
24147,japanese_spaniel
24148,pekinese
24149,english_springer
24150,scottish_deerhound
24151,malinois
24152,bernese_mountain_dog
24153,scotch_terrier
24154,miniature_poodle
24155,australian_terrier
24156,affenpinscher
24157,giant_schnauzer
24158,miniature_poodle
24159,west_highland_white_terrier
24160,samoyed
24161,whippet
24162,staffordshire_bullterrier
24163,greater_swiss_mountain_dog
24164,kelpie
24165,newfoundland
24166,pug
24167,schipperke
24168,whippet
24169,leonberg
24170,bernese_mountain_dog
24171,brabancon_griffon
24172,standard_schnauzer
24173,irish_wolfhound
24174,scottish_deerhound
24175,cardigan
24176,border_collie
24177,blenheim_spaniel
24178,sussex_spaniel
24179,norfolk_terrier
24180,italian_greyhound
24181,papillon
24182,english_foxhound
24183,blenheim_spaniel
24184,great_pyrenees
24185,kelpie
24186,scottish_deerhound
24187,dhole
24188,miniature_pinscher
24189,cardigan
24190,yorkshire_terrier
24191,labrador_retriever
24192,west_highland_white_terrier
24193,lakeland_terrier
24194,english_foxhound
24195,shetland_sheepdog
24196,pug
24197,tibetan_terrier
24198,appenzeller
24199,keeshond
24200,lakeland_terrier
24201,afghan_hound
24202,groenendael
24203,norwich_terrier
24204,malinois
24205,kerry_blue_terrier
24206,entlebucher
24207,schipperke
24208,lhasa
24209,newfoundland
24210,toy_terrier
24211,scotch_terrier
24212,rottweiler
24213,bloodhound
24214,newfoundland
24215,african_hunting_dog
24216,yorkshire_terrier
24217,affenpinscher
24218,english_foxhound
24219,german_shepherd
24220,kuvasz
24221,brabancon_griffon
24222,redbone
24223,airedale
24224,great_dane
24225,whippet
24226,english_setter
24227,malinois
24228,pomeranian
24229,beagle
24230,basenji
24231,pug
24232,samoyed
24233,whippet
24234,giant_schnauzer
24235,labrador_retriever
24236,cairn
24237,toy_terrier
24238,basenji
24239,norfolk_terrier
24240,vizsla
24241,lakeland_terrier
24242,rottweiler
24243,scotch_terrier
24244,pug
24245,chow
24246,standard_schnauzer
24247,lakeland_terrier
24248,chow
24249,cairn
24250,walker_hound
24251,great_pyrenees
24252,keeshond
24253,norwich_terrier
24254,pug
24255,irish_wolfhound
24256,japanese_spaniel
24257,norfolk_terrier
24258,appenzeller
24259,french_bulldog
24260,toy_terrier
24261,saint_bernard
24262,english_setter
24263,french_bulldog
24264,saint_bernard
24265,whippet
24266,doberman
24267,tibetan_terrier
24268,airedale
24269,clumber
24270,australian_terrier
24271,entlebucher
